ADDRESS,TINH
"Ấp Suối Đá (Ngã Ba Chợ Loan Sang), X. Dương Tơ, TP. Phú Quốc, Tỉnh Kiên Giang",Kiên Giang
"43 Trần Phú (Ngã Ba Thị Trấn Tam Sơn), TT. Tam Sơn, H. Quản Bạ, Tỉnh Hà Giang",Hà Giang
"271 - 273 Nguyễn Trãi (Ngã Ba Cầu Trắng), P. Nguyễn Trãi, TP. Hà Giang, Tỉnh Hà Giang",Hà Giang
"197 Nguyễn Thái Học (Đầu Cầu Yên Biên Mới), P. Trần Phú, TP. Hà Giang, Tỉnh Hà Giang",Hà Giang
"291 Nguyễn Thái Học (Ngã Tư Xổ Số Cũ), P. Trần Phú, TP. Hà Giang, Tỉnh Hà Giang",Hà Giang
"86 Trần Phú (Gần Trường Mầm Non Sao Mai), P. Minh Khai, TP. Hà Giang, Tỉnh Hà Giang",Hà Giang
"46 Nguyễn Văn Cừ, P. An Thới, TP. Phú Quốc, Tỉnh Kiên Giang",Kiên Giang
"249 Hòa Bình, P. Hồng Hà, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"01 Lê Hồng Phong (Ngã Tư Nam Cường), P. Nguyễn Thái Học, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"316 Thành Công (Ngã Tư VinCom), P. Nguyễn Thái Học, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"141, Tổ 7 (Đối Diện Cây Xăng 21), TT. Vị Xuyên, H. Vị Xuyên, Tỉnh Hà Giang",Hà Giang
"532 Lý Thường Kiệt, P. Ngọc Hà, TP. Hà Giang, Tỉnh Hà Giang",Hà Giang
"315 Cao Thắng (Ngã Tư Rẽ Vào Trường Sát Hạch Lái Xe), P. Yên Ninh, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"721 Yên Ninh (Cổng Viện Sản Nhi Thành Phố Yên Bái), P. Minh Tân, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"780-782 Điện Biên, P. Minh Tân, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"263 Đinh Tiên Hoàng (Đối Diện Cổng Chợ Yên Thịnh - Chợ Kilomet 6), P. Yên Thịnh, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái
"TDP 7 (Cổng Chính Chợ Yên Bình), TT. Yên Bình, H. Yên Bình, Tỉnh Yên Bái",Yên Bái
"155 Trần Hưng Đạo (Cạnh Chợ Số 2), TT. Yên Minh, H. Yên Minh, Tỉnh Hà Giang",Hà Giang
"Số 236 - 238 Tổ Dân Phố Tân Thịnh (Vòng Xuyến Ngã Tư Quả Cam), Thị Trấn Tân Yên, Huyện Hàm Yên, Tỉnh Tuyên Quang",Tuyên Quang
"389-391 Lạc Long Quân (Đối Diện Cổng Chợ Ấm Thượng), TT. Hạ Hoà, H. Hạ Hoà, Tỉnh Phú Thọ",Phú Thọ
"02 An Lập (Ngay Ngã Ba), TT. Yên Lập, H. Yên Lập, Tỉnh Phú Thọ",Phú Thọ
"307 Đào Giã (Ngã Ba Chợ Đồng Xuân), TT. Thanh Ba, H. Thanh Ba, Tỉnh Phú Thọ",Phú Thọ
"Xóm 5 (Cạnh Chợ Số 6, Gần Bia Chiến Thắng), X. Trung Môn, H. Yên Sơn, Tỉnh Tuyên Quang",Tuyên Quang
"360-362 Trường Chinh, P. Tân Hà, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"77 Đường 3/2 (Ngã Ba Vành Đai), TT. Đồng Văn, H. Đồng Văn, Tỉnh Hà Giang",Hà Giang
"388 Đường 17/8 (Gần Công An TP. Tuyên Quang), P. Phan Thiết, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"361 Quang Trung (Gần Trường Mầm Non Phan Thiết), P. Phan Thiết, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"Tiểu Khu 4 (Cạnh Sân Vận Động), TT. Mai Châu, H. Mai Châu, Tỉnh Hòa Bình",Hòa Bình
"699 Đồng Tâm, TT. Đoan Hùng, H. Đoan Hùng, Tỉnh Phú Thọ",Phú Thọ
"167 Đường 17/8 (Đối Diện Trường Tiểu Học Hồng Thái), P. Minh Xuân, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"Thôn Ngọc Chúc 1 (Gần Chợ Chi Đám), X. Chí Đám, H. Đoan Hùng, Tỉnh Phú Thọ",Phú Thọ
"148 Bình Thuận, P. Tân Quang, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"495 Phạm Văn Đồng , P. Hưng Thành, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"86 Xã Tắc, P. Tân Quang, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"657 Nguyễn Tất Thành, TT. Tân Yên, H. Hàm Yên, Tỉnh Tuyên Quang",Tuyên Quang
"254 Tân Trào, P. Nông Tiến, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"133-135 Ba Đình (Chân Dốc Huyện Ủy), TT. Vĩnh Lộc, H. Chiêm Hóa, Tỉnh Tuyên Quang",Tuyên Quang
"490 Tổ 13 (Ngã Ba Chợ Libi), P. Đội Cấn, TP. Tuyên Quang, Tỉnh Tuyên Quang",Tuyên Quang
"482 Kim Bình (Ngã Tư Vòng Xuyến Đầu Cầu Chiêm Hóa), TT. Vĩnh Lộc, H. Chiêm Hóa, Tỉnh Tuyên Quang",Tuyên Quang
"95 Hoàng Sơn (Cạnh Bưu điện Huyện Thanh Sơn), TT. Thanh Sơn, H. Thanh Sơn, Tỉnh Phú Thọ",Phú Thọ
"02 Tân An (Ngã Tư 27/7 Tân An), P. Hùng Vương, TX. Phú Thọ, Tỉnh Phú Thọ",Phú Thọ
"74 Phố Phú Cường, P. Phong Châu, TX. Phú Thọ, Tỉnh Phú Thọ",Phú Thọ
"26 Tân Hưng (Ngã Tư Viettel, Đối Diện Suabim.com), P. Âu Cơ, TX. Phú Thọ, Tỉnh Phú Thọ",Phú Thọ
"68 Khu 12, X. Phú Hộ, TX. Phú Thọ, Tỉnh Phú Thọ",Phú Thọ
"Khu 23 (Gần Trung Tâm Y Tế Huyện), X. Vạn Xuân, H. Tam Nông, Tỉnh Phú Thọ",Phú Thọ
"35 Âu Cơ (Chợ Cao Mại), TT. Lâm Thao, H. Lâm Thao, Tỉnh Phú Thọ",Phú Thọ
"271-273 Âu Cơ (Đối Diện Nhà Đa Năng Supe), TT. Hùng Sơn, H. Lâm Thao, Tỉnh Phú Thọ",Phú Thọ
"Khu phố (Ngã Ba La Phù), TT. Thanh Thủy, H. Thanh Thủy, Tỉnh Phú Thọ",Phú Thọ
"Khu 2 (Gần Chợ Phiên Cống Á), X. Bản Nguyên, H. Lâm Thao, Tỉnh Phú Thọ",Phú Thọ
"Khu 22 (Ngay Chợ), X. Hoàng Xá, H. Thanh Thủy, Tỉnh Phú Thọ",Phú Thọ
"212 Đường Nam (Vòng Xuyến Bãi Bằng),TT. Phong Châu, H. Phù Ninh, Tỉnh Phú Thọ",Phú Thọ
"113 Phạm Văn Kỷ (Ngay Vòng Xoay Cầu Tô Châu), P. Pháo Đài, TP. Hà Tiên, Tỉnh Kiên Giang",Kiên Giang
"142 Mạc Thiên Tích, P. Pháo Đài, TP. Hà Tiên, Tỉnh Kiên Giang",Kiên Giang
"97 Phương Thành (Ngã Năm Chợ Xóm Củi), P. Bình San, TP. Hà Tiên, Tỉnh Kiên Giang",Kiên Giang
"117 Đường 2/9 (Ngay Ngã Ba Đường 2/9 Và Nguyễn Chí Thanh), P. Tô Châu, TP. Hà Tiên, Tỉnh Kiên Giang",Kiên Giang
"336 TDP Cơ Quan (Cạnh Chợ Chiều), TT. Sơn Dương, H. Sơn Dương, Tỉnh Tuyên Quang",Tuyên Quang
"99 Khu Tâm Đức (Ngã Ba Tân Lạc), TT. Mãn Đức, H. Tân Lạc, Tỉnh Hoà Bình",Hoà Bình
"116-118 TDP Quyết Tiến (Ngã Ba Đèn Đỏ - Ủy Ban Thị Trấn Sơn Dương), TT. Sơn Dương, H. Sơn Dương, Tỉnh Tuyên Quang",Tuyên Quang
"180 Nguyệt Cư (Chợ Minh Phương), P. Minh Phương, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"2079 Hùng Vương (Ngã Tư Công Đoàn), P. Gia Cẩm, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"179 Quang Trung, P. Nông Trang, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"Thôn Nhông Nương Tụ (Đối Diện Chợ Nhông), X. Phú Sơn, H. Ba Vì, TP. Hà Nội",Hà Nội
"381 Châu Phong (Ngã Tư Dafuco), P. Gia Cẩm, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"Khối 3 (Gần Chợ Thị Trấn Quỳ Hợp), TT. Quỳ Hợp, H. Quỳ Hợp, Tỉnh Nghệ An",Nghệ An
"880-882 Cù Chính Lan, P. Phương Lâm, TP. Hòa Bình, Tỉnh Hòa Bình",Hòa Bình
"TDP Then (Ngã Ba Chợ Then), TT. Tam Sơn, H. Sông Lô, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"2 Đinh Tiên Hoàng (Ngã Năm Bưu Điện), P. Tân Thịnh, TP. Hòa Bình, Tỉnh Hòa Bình",Hòa Bình
"214-216 Hàn Thuyên (Gần Bệnh Viện Đa Khoa Phú Thọ), P. Tân Dân, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"423 Cù Chính Lan, P. Phương Lâm, TP. Hòa Bình, Tỉnh Hòa Bình",Hòa Bình
"1515 Hùng Vương (Gần Vincom Việt Trì), P. Tiên Cát, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"Thôn Chợ Mơ (Gần Chợ Mơ), X. Vạn Thắng, H. Ba Vì, TP. Hà Nội",Hà Nội
"2 Lý Thường Kiệt (Ngã Ba Chăm Mát), P. Thống Nhất, TP. Hòa Bình, Tỉnh Hòa Bình",Hòa Bình
"02 Chi Lăng (Ngã Tư Đồng Lợi), P. Quỳnh Lâm, TP. Hòa Bình, Tỉnh Hòa Bình",Hòa Bình
"Thôn Yên Thành (Cạnh Phòng Khám Đa Khoa), X. Tản Lĩnh, H. Ba Vì, TP. Hà Nội",Hà Nội
"Quốc lộ 32 (Đối Diện Bệnh Viện Đa Khoa Ba Vì), Thôn Tân Phú Mỹ, X. Vật Lại, H. Ba Vì, TP. Hà Nội",Hà Nội
"807 Hùng Vương (Ngã Tư Thanh Miếu), P. Bến Gót, TP. Việt Trì, Tỉnh Phú Thọ",Phú Thọ
"Thôn Vân Sa 1 (Cách Cây Xăng Tân Hồng 100m), X. Tản Hồng, H. Ba Vì, TP. Hà Nội",Hà Nội
"248 Tỉnh Lộ 413 (Cạnh Cây Xăng Thuỵ An Ba Vì), X. Thụy An, H. Ba Vì, TP. Hà Nội",Kiên Giang
"271 Quốc Lộ 80, TT. Kiên Lương, H. Kiên Lương, Tỉnh Kiên Giang",Kiên Giang
"99 - 101 Quảng Oai (Đối Diện Ngân Hàng Liên Việt Postbank, Sân Vận Động Quảng Oai), TT. Tây Đằng, TT. Tây Đằng, H. Ba Vì, TP. Hà Nội",Hà Nội
"21 - 23 Chợ Cầu, X. Cao Phong, H. Sông Lô, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Tổ Dân Phố Tân Chiền (Ngã Ba Chợ Lập Thạch), TT. Lập Thạch, H. Lập Thạch, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn Vọng Sơn (Ngã Ba Chợ Huyện), X. Triệu Đề, H. Lập Thạch, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"210 Hòn Chông-Rạch Dùng, X. Bình An, H. Kiên Lương, Tỉnh Kiên Giang",Kiên Giang
"365 Xuân Khanh (Gần Ngã Ba Xuân Khanh - Đối Diện Bưu Điện), P. Xuân Khanh, TX. Sơn Tây, TP. Hà Nội",Hà Nội
"Xóm Trung Tâm (Đối Diện Chợ Yên Lãng), X. Yên Lãng, H. Đại Từ, Tỉnh Thái Nguyên",Thái Nguyên
"534 Quốc Lộ 80, TT. Kiên Lương, H. Kiên Lương, Tỉnh Kiên Giang",Kiên Giang
"Thôn Phủ Yên 4 (Ngã Tư Cầu Kênh Phủ Yên), X. Yên Lập, H. Vĩnh Tường, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Xóm Đình (Cạnh Chợ Mía, Làng Cổ Đường Lâm), Thôn Đông Sàng, X. Đường Lâm, TX. Sơn Tây, TP. Hà Nội",Hà Nội
"Thôn Chùa Chợ (Ngã Tư Thượng Trung), X. Thượng Trưng, H. Vĩnh Tường, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn Bắc Cường (Gần Ao Tròn Thổ Tang), TT. Thổ Tang, H. Vĩnh Tường, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn Vàng (Ngã 3 Chợ Vàng), X. Hoàng Đan, H. Tam Dương, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"2 Trung Sơn Trầm (Ngã Tư Tùng Thiện Trung Sơn Trầm, Cách Chợ Trung Sơn Trầm 200m), P. Trung Sơn Trầm, TX. Sơn Tây, TP. Hà Nội",Hà Nội
"Khu Tái Định Cư 182 Lê Lợi (Ngã Tư Vào Bệnh Viện Đa Khoa Sơn Tây), P. Lê Lợi, TX. Sơn Tây, TP. Hà Nội",Hà Nội
"Thôn Nha (Ngay Cổng Chợ Kiệu), X. Chấn Hưng, H. Vĩnh Tường, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"24 Hoàng Diệu (Đối Diện UBND), P. Quang Trung, TX. Sơn Tây, TP. Hà Nội",Hà Nội
"TDP Phố Me (Ngã tư Me), TT. Hợp Hòa, H. Tam Dương, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Khu 5 (Cổng Làng Khu 5), TT. Tứ Trưng, H. Vĩnh Tường, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Xóm 1 Đồng Giang (Ngã 3 Khuôn Ngàn, Đối Diện Cây Xăng Phú Xuyên), X. Phú Xuyên, H. Đại Từ, Tỉnh Thái Nguyên",Thái Nguyên
"61 + 63 Đường TL420 (Ngã Ba Hòa Lạc), X. Thạch Hòa, H. Thạch Thất, TP. Hà Nội",Hà Nội
"14-16 Lê Thái Tông (Đối Diện Chợ Mục Sơn), TT. Lam Sơn, H. Thọ Xuân, Tỉnh Thanh Hóa",Thanh Hóa
"Khối 2, TT. Đô Lương, H. Đô Lương, Tỉnh Nghệ An",Nghệ An
"118 Nguyễn Danh Phương (Đối Diện Vòng Xuyến Hợp Thịnh), P. Hội Hợp, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"09 Phố Gạch (Ngã Tư Gạch - Phúc Thọ), TT. Phúc Thọ, H. Phúc Thọ, TP. Hà Nội",Hà Nội
"5 Lý Thường Kiệt (Cổng Chợ Đồng Tâm), P. Đồng Tâm, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"387 Phố Trung Tâm (Ngã Tư Phố Mới), TT. Chợ Chu, H. Định Hóa, Tỉnh Thái Nguyên",Thái Nguyên
"599 Trần Phú (Đối Diện Chợ Đồn Lương Sơn), TT. Lương Sơn, H. Lương Sơn, Tỉnh Hòa Bình",Hòa Bình
"TDP Phù Lưu (Gốc Đề Tam Hồng), TT. Tam Hồng, H. Yên Lạc, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"88 Đường H10 (Đầu đường 419 - Ngã 3 Tân Xã - Gần hồ Tân Xãm), X. Tân Xã, H. Thạch Thất, TP. Hà Nội",Hà Nội
"92-94 Dương Tĩnh (Gần Chợ Yên Lạc), TT. Yên Lạc, H. Yên Lạc, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn Nhật Chiêu 4 (Ngã 3 Chợ Rau Liên Châu), X. Liên Châu, H. Yên Lạc, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"305 Đường 1/9, TT. Thanh Chương, H. Thanh Chương, Tỉnh Nghệ An",Nghệ An
"Thôn Long Phú (Đối Diện Chợ Long Phú), X. Hòa Thạch, H. Quốc Oai, TP. Hà Nội",Hà Nội
"27A-29 Trần Phú, P. Liên Bảo, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"52 Ngô Quyền, P. Ngô Quyền, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"130 Tỉnh Lộ 419 (Ngã Ba Thị Trấn Liên Quan), TT. Liên Quan, H. Thạch Thất, TP. Hà Nội",Hà Nội
"TDP Đồi Thông (Ngã Ba Chợ Hợp Châu), TT. Hợp Châu, H. Tam Đảo, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"88 Nguyễn Viết Xuân, P. Đống Đa, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Tổ Dân Phố Chợ 1 (Ngã Ba Thị Trấn Đại Từ), TT. Hùng Sơn, H. Đại Từ, Tỉnh Thái Nguyên",Thái Nguyên
"285 Mê Linh, P. Liên Bảo, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn 9 (Ngã Tư Đèn Đỏ Chợ Bún), X. Phụng Thượng, H. Phúc Thọ, TP. Hà Nội",Hà Nội
"Thôn 4 (Ngã Tư Chợ Bãi), X. Vân Phúc, H. Phúc Thọ, TP. Hà Nội",Hà Nội
"113 Tôn Đức Thắng (Ngã Tư Ốc Vít), P. Khai Quang, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Xóm Cạn (Cạnh Cổng Trường THPT Lưu Nhân Chú), X. Ký Phú, H. Đại Từ, Tỉnh Thái Nguyên",Thái Nguyên
"Số 13 Tổ 4 Khu Xuân Hà (Cổng Chợ Xuân Mai), TT. Xuân Mai, H. Chương Mỹ, TP. Hà Nội",Hà Nội
"95 Phố Lồ, X. Nguyệt Đức, H. Yên Lạc, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"102-104 Xuân Trung (Đối Diện Chợ Bê Tông), X. Thuỷ Xuân Tiên, H. Chương Mỹ, TP. Hà Nội",Hà Nội
"Thôn Mậu Lâm, P. Khai Quang, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"TDP Cổ Độ (Ngã Tư Chợ Vồ), TT. Gia Khánh, H. Bình Xuyên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn Gảnh Đá (Ngã Tư Chợ Gảnh Đá), X. Trung Kiên, H. Yên Lạc, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Khối Tân Thành (Ngã 5 Thái Hòa, Cạnh Chợ Hiếu), P. Hòa Hiếu, TX. Thái Hòa, Tỉnh Nghệ An",Nghệ An
"Thôn 4 (Cạnh Bưu Điện Canh Nậu – Đối Diện Ủy Ban Nhân Dân), Khu Cầu Chợ, X. Canh Nậu, H. Thạch Thất, TP. Hà Nội",Hà Nội
"Khu Cống Đặng, Thôn Bình Xá, X. Bình Phú, H. Thạch Thất, TP. Hà Nội",Hà Nội
"161 Trục Chính (Bên Cạnh Uỷ Ban Xã Tam Hiệp), X. Tam Hiệp, H. Phúc Thọ, TP. Hà Nội",Hà Nội
"Thôn Miễu (Gần Trường Tiểu Học Hữu Bằng), X. Hữu Bằng, H. Thạch Thất, TP. Hà Nội",Hà Nội
"Ngã 4 Chợ Cá, Thôn Đông Tiến, X. Tân Tiến, H. Chương Mỹ, TP. Hà Nội",Hà Nội
"khu phố 1 (Cạnh Bưu Điện), TT. Hương Canh, H. Bình Xuyên, Tỉnh Vĩnh Phúc",Vĩnh Phúc
"Thôn Hòa Bình (Ngã Ba Đường Làng Dị), X. Dị Nậu, H. Thạch Thất, TP. Hà Nội",Hà Nội
"32 Đường 419 Phùng Xá (Gần Trường THCS Phùng Xá – Ngã Tư Cổng Nùi), X. Phùng Xá, H. Thạch Thất, TP. Hà Nội",Hà Nội
"Xóm 7 (Đối Diện Trạm Y Tế Cấn Thượng), Thôn Cấn Thượng, X. Cấn Hữu, H. Quốc Oai, TP. Hà Nội",Hà Nội
"Xóm 3 (Ngã Tư), Thôn Xa Mạc, X. Liên Mạc, H. Mê Linh, TP. Hà Nội",Hà Nội
"Thôn Phú Mỹ (Đối Diện Chợ Chiều Ngọc Mỹ), X. Ngọc Mỹ, H. Quốc Oai, TP. Hà Nội",Hà Nội
"67 Lê Lợi (Ngã Tư Chợ Bò), TT. Thọ Xuân, H. Thọ Xuân, Tỉnh Thanh Hóa",Thanh Hóa
"269 Phố Mới, X. Thọ Xuân, H. Đan Phượng, TP. Hà Nội",Hà Nội
